File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF786QFD	fastq	reads	ENCSR561ZRE	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				EP300-human	ENCAB741LTD	DNA				formaldehyde	False	2016-10-27	GGR				3	1	51		single-ended				473261717	Tim Reddy, Duke	52bbc1e625d849a40e9ce794ee5a691a	SRA:SRR5092986	https://www.encodeproject.org/files/ENCFF786QFD/@@download/ENCFF786QFD.fastq.gz		HiSeq 2000	/files/ENCFF796UNQ/	released		mismatched file status		
ENCFF364UFN	fastq	reads	ENCSR788XNX	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					RFX1-human	ENCAB000BCV	DNA					False	2016-06-23	ENCODE				1	1	100		paired-ended	1	ENCFF601NHF		2818805489	Michael Snyder, Stanford	0ee32c00a4ba3181a88f8f47cf080026	SRA:SRR5112080	https://www.encodeproject.org/files/ENCFF364UFN/@@download/ENCFF364UFN.fastq.gz		HiSeq 2000	/files/ENCFF002DTU/	released	low read depth	missing unfiltered alignments		
ENCFF601NHF	fastq	reads	ENCSR788XNX	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					RFX1-human	ENCAB000BCV	DNA					False	2016-06-23	ENCODE				1	1	100		paired-ended	2	ENCFF364UFN		2880238588	Michael Snyder, Stanford	6949fe7f26a66095a9bcd8e775c5f25f	SRA:SRR5112080	https://www.encodeproject.org/files/ENCFF601NHF/@@download/ENCFF601NHF.fastq.gz		HiSeq 2000	/files/ENCFF002EFI/	released	low read depth	missing unfiltered alignments		
ENCFF806WBE	fastq	reads	ENCSR788XNX	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					RFX1-human	ENCAB000BCV	DNA					False	2016-06-23	ENCODE				2	1	100		paired-ended	1	ENCFF541INS		1640531709	Michael Snyder, Stanford	f5e54ce7d8e7c80a464488a3ab92c964	SRA:SRR5112081	https://www.encodeproject.org/files/ENCFF806WBE/@@download/ENCFF806WBE.fastq.gz		HiSeq 2000	/files/ENCFF002EFG/	released	low read depth	missing unfiltered alignments		
ENCFF541INS	fastq	reads	ENCSR788XNX	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					RFX1-human	ENCAB000BCV	DNA					False	2016-06-23	ENCODE				2	1	100		paired-ended	2	ENCFF806WBE		1682880331	Michael Snyder, Stanford	7cb6f0667e2e20a1db0738d4788b6d1d	SRA:SRR5112081	https://www.encodeproject.org/files/ENCFF541INS/@@download/ENCFF541INS.fastq.gz		HiSeq 2000	/files/ENCFF002DTS/	released	low read depth	missing unfiltered alignments		
ENCFF496UAH	fastq	reads	ENCSR447ZMS	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				CEBPB-human	ENCAB681ZWH	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				675253820	Tim Reddy, Duke	d1caeafbad54adc213e80b1f95d41a72	SRA:SRR5092913	https://www.encodeproject.org/files/ENCFF496UAH/@@download/ENCFF496UAH.fastq.gz		HiSeq 2000	/files/ENCFF989IQK/	released		mismatched file status		
ENCFF046LLR	fastq	reads	ENCSR447ZMS	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				CEBPB-human	ENCAB681ZWH	DNA				formaldehyde	False	2016-10-27	GGR				2	1	51		single-ended				604222449	Tim Reddy, Duke	811bd228e1bc2547028b22088c1c2e5b	SRA:SRR5092912	https://www.encodeproject.org/files/ENCFF046LLR/@@download/ENCFF046LLR.fastq.gz		HiSeq 2000	/files/ENCFF759SMG/	released		mismatched file status		
ENCFF859YGK	fastq	reads	ENCSR447ZMS	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				CEBPB-human	ENCAB681ZWH	DNA				formaldehyde	False	2016-10-27	GGR				3	1	51		single-ended				638162795	Tim Reddy, Duke	e0b7a1e73251ffa906effcf641e50bfc	SRA:SRR5092911	https://www.encodeproject.org/files/ENCFF859YGK/@@download/ENCFF859YGK.fastq.gz		HiSeq 2000	/files/ENCFF697YMQ/	released		mismatched file status		
ENCFF000WFR	fastq	reads	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	32		single-ended				754952111	Peggy Farnham, USC	ef29b0894efe82f72d8707b5580c5ace		https://www.encodeproject.org/files/ENCFF000WFR/@@download/ENCFF000WFR.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, borderline replicate concordance, inconsistent control read length		insufficient read length, control low read depth	
ENCFF000WFZ	fastq	reads	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	32		single-ended				953215497	Peggy Farnham, USC	d98f6eeee0f015b32273fc58128fef65		https://www.encodeproject.org/files/ENCFF000WFZ/@@download/ENCFF000WFZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, borderline replicate concordance, inconsistent control read length		insufficient read length, control low read depth	
ENCFF000XKF	fastq	reads	ENCSR000ECT	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					POLR2AphosphoS2-human	ENCAB000AOB	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				723232679	Michael Snyder, Stanford	278877e78e1e8acf8a24c8ee4b18bced		https://www.encodeproject.org/files/ENCFF000XKF/@@download/ENCFF000XKF.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF000XKG	fastq	reads	ENCSR000ECT	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					POLR2AphosphoS2-human	ENCAB000AOB	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				707554860	Michael Snyder, Stanford	14804fbc83ae8312ec427ef74c121e62		https://www.encodeproject.org/files/ENCFF000XKG/@@download/ENCFF000XKG.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XKW/	released	inconsistent control read length, low read length	biological replicates with identical biosample		
ENCFF376HFJ	fastq	reads	ENCSR446SPT	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				BCL3-human	ENCAB365DEF	DNA				formaldehyde	False	2016-10-27	GGR				2	1	51		single-ended				472635826	Tim Reddy, Duke	84a8626e222433a647ae69ff717bfb83	SRA:SRR5092924	https://www.encodeproject.org/files/ENCFF376HFJ/@@download/ENCFF376HFJ.fastq.gz		HiSeq 2000	/files/ENCFF991CBW/	released		mismatched file status		
ENCFF705LLQ	fastq	reads	ENCSR446SPT	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens	dexamethasone				BCL3-human	ENCAB365DEF	DNA				formaldehyde	False	2016-10-27	GGR				1	1	51		single-ended				633279562	Tim Reddy, Duke	c1fe32417fa8a45df577827d086ecd0d	SRA:SRR5092923	https://www.encodeproject.org/files/ENCFF705LLQ/@@download/ENCFF705LLQ.fastq.gz		HiSeq 2000	/files/ENCFF583DKO/	released		mismatched file status		
ENCFF002EWX	fastq	reads	ENCSR219MKK	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					DEK-human	ENCAB588PCU	DNA					False	2016-04-21	ENCODE				1	1	36		single-ended				499999712	Michael Snyder, Stanford	f6d490615bf7fa655a2654210841ae78	SRA:SRR5111301	https://www.encodeproject.org/files/ENCFF002EWX/@@download/ENCFF002EWX.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECN/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF002EXE	fastq	reads	ENCSR219MKK	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					DEK-human	ENCAB588PCU	DNA					False	2016-04-21	ENCODE				2	1	36		single-ended				976758744	Michael Snyder, Stanford	e8b0f458ea72e8d1d10bdb618dffa2e3	SRA:SRR5111300	https://www.encodeproject.org/files/ENCFF002EXE/@@download/ENCFF002EXE.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECO/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF204LGU	fastq	reads	ENCSR997GPO	ChIP-seq	EFO:0001184	HEK293T	immortalized cell line	embryonic	female	unknown	Homo sapiens					NFRKB-human	ENCAB097XCT	DNA					False	2016-11-17	ENCODE				1	1	100		paired-ended	2	ENCFF895OQI		3413608025	Michael Snyder, Stanford	e9675ac6922a01b0d925b79a3b74b4d7	SRA:SRR5112383	https://www.encodeproject.org/files/ENCFF204LGU/@@download/ENCFF204LGU.fastq.gz		HiSeq 4000	/files/ENCFF642BHL/	released	moderate library complexity, mild to moderate bottlenecking			
ENCFF390ZPT	fastq	reads	ENCSR997GPO	ChIP-seq	EFO:0001184	HEK293T	immortalized cell line	embryonic	female	unknown	Homo sapiens					NFRKB-human	ENCAB097XCT	DNA					False	2016-11-17	ENCODE				2	1	100		paired-ended	1	ENCFF260XVE		3481464465	Michael Snyder, Stanford	18191d3cae21a531219ec090f7e01835	SRA:SRR5112384	https://www.encodeproject.org/files/ENCFF390ZPT/@@download/ENCFF390ZPT.fastq.gz		HiSeq 4000	/files/ENCFF044RFM/	released	moderate library complexity, mild to moderate bottlenecking			
ENCFF260XVE	fastq	reads	ENCSR997GPO	ChIP-seq	EFO:0001184	HEK293T	immortalized cell line	embryonic	female	unknown	Homo sapiens					NFRKB-human	ENCAB097XCT	DNA					False	2016-11-17	ENCODE				2	1	100		paired-ended	2	ENCFF390ZPT		3734488649	Michael Snyder, Stanford	db93aebf774fab37321d725bb3502f06	SRA:SRR5112384	https://www.encodeproject.org/files/ENCFF260XVE/@@download/ENCFF260XVE.fastq.gz		HiSeq 4000	/files/ENCFF833AEQ/	released	moderate library complexity, mild to moderate bottlenecking			
ENCFF895OQI	fastq	reads	ENCSR997GPO	ChIP-seq	EFO:0001184	HEK293T	immortalized cell line	embryonic	female	unknown	Homo sapiens					NFRKB-human	ENCAB097XCT	DNA					False	2016-11-17	ENCODE				1	1	100		paired-ended	1	ENCFF204LGU		3206267583	Michael Snyder, Stanford	d56d6ffb76d35c04e61ef71976236c1b	SRA:SRR5112383	https://www.encodeproject.org/files/ENCFF895OQI/@@download/ENCFF895OQI.fastq.gz		HiSeq 4000	/files/ENCFF321ZMO/	released	moderate library complexity, mild to moderate bottlenecking			
ENCFF000RBC	fastq	reads	ENCSR000BUA	ChIP-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-09-10	ENCODE				2	1	50		single-ended				1080514254	Richard Myers, HAIB	11be5307c52b49f9e35f19cbfa7ed7e5		https://www.encodeproject.org/files/ENCFF000RBC/@@download/ENCFF000RBC.fastq.gz		HiSeq 2000	/files/ENCFF000RCT/	released		biological replicates with identical biosample		
ENCFF000RBI	fastq	reads	ENCSR000BUA	ChIP-seq	EFO:0003072	SK-N-SH	immortalized cell line	child	female	4 year	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-09-10	ENCODE				1	1	50		single-ended				2029947909	Richard Myers, HAIB	7fe941950df6f345c5390e8ea827f0f5		https://www.encodeproject.org/files/ENCFF000RBI/@@download/ENCFF000RBI.fastq.gz		HiSeq 2000	/files/ENCFF000RCM/	released		biological replicates with identical biosample		
ENCFF000ZOT	fastq	reads	ENCSR000EXR	ChIP-seq	CL:0000765	erythroblast	primary cell	embryonic	unknown	16-19 week	Homo sapiens					GATA1-human	ENCAB000AGS	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				1301048114	Peggy Farnham, USC	756e795b02022d3946712e08219f9011		https://www.encodeproject.org/files/ENCFF000ZOT/@@download/ENCFF000ZOT.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000ZPA/	released	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000ZOV	fastq	reads	ENCSR000EXR	ChIP-seq	CL:0000765	erythroblast	primary cell	embryonic	unknown	16-19 week	Homo sapiens					GATA1-human	ENCAB000AGS	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				909732975	Peggy Farnham, USC	46b1a56181939e1ada9dc3f402dfa17c		https://www.encodeproject.org/files/ENCFF000ZOV/@@download/ENCFF000ZOV.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000ZPA/	released	low read depth, moderate library complexity, control low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF002EWL	fastq	reads	ENCSR882ERE	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ZKSCAN1-human	ENCAB000AMP	DNA					False	2016-03-02	ENCODE				1	1	36		single-ended				782959243	Michael Snyder, Stanford	5127ab9a4a2e43a3d75c2fe11738b1aa	SRA:SRR5112229	https://www.encodeproject.org/files/ENCFF002EWL/@@download/ENCFF002EWL.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECW/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF002EWQ	fastq	reads	ENCSR882ERE	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					ZKSCAN1-human	ENCAB000AMP	DNA					False	2016-03-02	ENCODE				2	1	36		single-ended				771329231	Michael Snyder, Stanford	4b01ab588622ea4d87717a71bd9bbe3d	SRA:SRR5112228	https://www.encodeproject.org/files/ENCFF002EWQ/@@download/ENCFF002EWQ.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002ECS/	released	low read depth, low read length	missing unfiltered alignments		
ENCFF000RYO	fastq	reads	ENCSR000DMP	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens	17β-estradiol				MYC-human	ENCAB000AET	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	36		single-ended				1489245214	Vishwanath Iyer, UTA	65c6553a41d94e026f83f14c7aa940eb		https://www.encodeproject.org/files/ENCFF000RYO/@@download/ENCFF000RYO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000SAZ/	released	mild to moderate bottlenecking, low read length	biological replicates with identical biosample, missing unfiltered alignments		
ENCFF000RYP	fastq	reads	ENCSR000DMP	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens	17β-estradiol				MYC-human	ENCAB000AET	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				1528047621	Vishwanath Iyer, UTA	1d1def9ab536ed88c77c918ea96dd93b		https://www.encodeproject.org/files/ENCFF000RYP/@@download/ENCFF000RYP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000SAZ/	released	mild to moderate bottlenecking, low read length	biological replicates with identical biosample, missing unfiltered alignments		
ENCFF062BQQ	fastq	reads	ENCSR541AOQ	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens					PHF8-human	ENCAB757LUG	DNA					False	2016-11-23	ENCODE				2	1	76		single-ended				720289977	Bradley Bernstein, Broad	6a8aa6f19dffce3efb1bb5cd9cd4fec7	SRA:SRR5832853	https://www.encodeproject.org/files/ENCFF062BQQ/@@download/ENCFF062BQQ.fastq.gz		HiSeq 2500	/files/ENCFF920WNX/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance		antibody not characterized to standard	
ENCFF319DTT	fastq	reads	ENCSR541AOQ	ChIP-seq	EFO:0001086	A549	immortalized cell line	adult	male	58 year	Homo sapiens					PHF8-human	ENCAB757LUG	DNA					False	2016-11-23	ENCODE				1	1	76		single-ended				6236008958	Bradley Bernstein, Broad	2637a3a792d5c98cb9c98628f0feadba	SRA:SRR5832854	https://www.encodeproject.org/files/ENCFF319DTT/@@download/ENCFF319DTT.fastq.gz		HiSeq 2500	/files/ENCFF214KMN/, /files/ENCFF343EVP/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance		antibody not characterized to standard	
ENCFF002EWY	fastq	reads	ENCSR635OSG	ChIP-seq	UBERON:0002107	liver	tissue	child	female	6 year, 4 year	Homo sapiens					RAD21-human	ENCAB000AKG	DNA					False	2017-04-14	ENCODE				2	1	36		single-ended				860476529	Michael Snyder, Stanford	8be8e80b1daf019d465d60a8a2bc8ed7		https://www.encodeproject.org/files/ENCFF002EWY/@@download/ENCFF002EWY.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002EXD/	released	antibody characterized with exemption, inconsistent target of control experiment, low read length	missing mapped reads lengths, experiment not submitted to GEO	missing input control	
ENCFF002EXC	fastq	reads	ENCSR635OSG	ChIP-seq	UBERON:0002107	liver	tissue	child	female	6 year, 4 year	Homo sapiens					RAD21-human	ENCAB000AKG	DNA					False	2017-04-14	ENCODE				1	1	36		single-ended				919600750	Michael Snyder, Stanford	2dccf53f3683abda90c4d8be5a2e29f4		https://www.encodeproject.org/files/ENCFF002EXC/@@download/ENCFF002EXC.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF002EXA/	released	antibody characterized with exemption, inconsistent target of control experiment, low read length	missing mapped reads lengths, experiment not submitted to GEO	missing input control	
ENCFF000NOT	fastq	reads	ENCSR000BUE	ChIP-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-09-10	ENCODE				1	1	50		single-ended				1506309534	Richard Myers, HAIB	e14e9eca6ae67918501938908d4f2b30		https://www.encodeproject.org/files/ENCFF000NOT/@@download/ENCFF000NOT.fastq.gz		HiSeq 2000	/files/ENCFF000NPW/	released		biological replicates with identical biosample		
ENCFF000NOX	fastq	reads	ENCSR000BUE	ChIP-seq	EFO:0005718	Ishikawa	immortalized cell line	adult	female	39 year	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-09-10	ENCODE				2	1	50		single-ended				1424166301	Richard Myers, HAIB	a0c7ac3a1dde82e94b7d806f148f81bd		https://www.encodeproject.org/files/ENCFF000NOX/@@download/ENCFF000NOX.fastq.gz		HiSeq 2000	/files/ENCFF000NQD/	released		biological replicates with identical biosample		
ENCFF000XAA	fastq	reads	ENCSR000EDL	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					SMARCC2-human	ENCAB000AEC	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	28		single-ended				552168320	Michael Snyder, Stanford	b9a4b1acf4cdf307fc308ab09e175189		https://www.encodeproject.org/files/ENCFF000XAA/@@download/ENCFF000XAA.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XIG/	released		biological replicates with identical biosample	insufficient read length	
ENCFF000XAB	fastq	reads	ENCSR000EDL	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					SMARCC2-human	ENCAB000AEC	DNA		see document	see document		False	2011-10-29	ENCODE				3	1	28		single-ended				582724018	Michael Snyder, Stanford	77ac5efe93b9597cd2d5fd020de3ee8e		https://www.encodeproject.org/files/ENCFF000XAB/@@download/ENCFF000XAB.fastq.gz		Illumina Genome Analyzer		released		biological replicates with identical biosample	insufficient read length, missing controlled_by	
ENCFF000XAC	fastq	reads	ENCSR000EDL	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					SMARCC2-human	ENCAB000AEC	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	28		single-ended				549977270	Michael Snyder, Stanford	16ec11174257b5414b5c1b12175a6153		https://www.encodeproject.org/files/ENCFF000XAC/@@download/ENCFF000XAC.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XIH/	released		biological replicates with identical biosample	insufficient read length	
ENCFF002ATD	fastq	reads	ENCSR756ZKG	ChIP-seq	EFO:0006710	OCI-LY3	immortalized cell line	adult	male	52 year	Homo sapiens					CTCF-human	ENCAB000AXX	DNA		see document	see document		False	2014-07-11	ENCODE				2	1	36		single-ended				677386473	Bradley Bernstein, Broad	cc8870e982ea022525b941b598ea0e36		https://www.encodeproject.org/files/ENCFF002ATD/@@download/ENCFF002ATD.fastq.gz		HiSeq 2500	/files/ENCFF228EQX/, /files/ENCFF475WXS/, /files/ENCFF489HIX/, /files/ENCFF890HQY/	released	low read length, low read depth, antibody characterized with exemption, inconsistent control read length, inconsistent control run_type	mismatched file status, NTR biosample, missing unfiltered alignments, experiment not submitted to GEO		
